,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,median
intercept,0.027,0.043,0.0,0.088,0.003,0.003,399.0,93.0,1.01,0.007
likelihood_sigma,0.078,0.004,0.069,0.084,0.0,0.0,682.0,144.0,1.01,0.077
beta_channel[media_cost_1],0.113,0.183,0.0,0.232,0.003,0.002,2521.0,4252.0,1.0,0.066
beta_channel[media_cost_2],0.096,0.171,0.0,0.227,0.002,0.001,4702.0,6248.0,1.0,0.046
beta_channel[media_cost_3],0.168,0.25,0.0,0.383,0.003,0.002,3959.0,5525.0,1.0,0.092
beta_channel[media_cost_4],0.053,0.094,0.0,0.111,0.001,0.001,5262.0,6201.0,1.0,0.03
alpha[media_cost_1],0.253,0.195,0.0,0.541,0.01,0.01,554.0,78.0,1.01,0.209
alpha[media_cost_2],0.35,0.24,0.0,0.709,0.003,0.002,7702.0,6470.0,1.0,0.311
alpha[media_cost_3],0.44,0.256,0.0,0.78,0.004,0.003,5659.0,5382.0,1.0,0.455
alpha[media_cost_4],0.281,0.208,0.0,0.595,0.006,0.004,2043.0,5094.0,1.0,0.238
lam[media_cost_1],2.215,1.508,0.116,4.244,0.017,0.012,5818.0,3870.0,1.0,1.902
lam[media_cost_2],2.137,1.517,0.147,4.188,0.019,0.014,3521.0,2481.0,1.0,1.784
lam[media_cost_3],2.596,1.846,0.109,5.083,0.038,0.027,2883.0,5467.0,1.0,2.167
lam[media_cost_4],2.273,1.658,0.116,4.593,0.023,0.016,3732.0,4512.0,1.0,1.845
